TITULO,AUTOR,DATA_PUBLICACAO,ISBN,EDITORA,CATEGORIA
Aventura nas Estrelas,Alice Almeida,12/01/1999,978-0000000001,Editora Alfa,Ficção Científica
Amor e Mistério,André Araújo,23/03/2001,978-0000000002,Editora Beta,Romance
Algoritmos para Todos,Ana Antunes,15/05/2005,978-0000000003,Editora Gama,Tecnologia
A Jornada do Herói,Arthur Andrade,01/07/2010,978-0000000004,Editora Delta,Aventura
A Vida em Palavras,Alfredo Alves,20/08/2012,978-0000000005,Editora Épsilon,Literatura
A Magia do Código,Adriana Amaral,11/11/2013,978-0000000006,Editora Zeta,Tecnologia
A Arte da História,Antonio Aquino,30/12/2014,978-0000000007,Editora Eta,Literatura
Aventura Submarina,Alexandre Araújo,05/02/2015,978-0000000008,Editora Theta,Aventura
Amor Proibido,Angela Almeida,18/04/2016,978-0000000009,Editora Iota,Romance
Aprendendo Java,Ana Beatriz,09/06/2017,978-0000000010,Editora Kappa,Tecnologia
Asas do Destino,Alan Antunes,25/08/2017,978-0000000011,Editora Lambda,Ficção
A Cidade Perdida,Alice Andrade,13/10/2018,978-0000000012,Editora Mu,Aventura
A Chave Secreta,André Almeida,07/12/2018,978-0000000013,Editora Nu,Mistério
A Dança dos Sonhos,Ana Araújo,21/01/2019,978-0000000014,Editora Xi,Literatura
A Vida Secreta,Antonio Amaral,14/03/2019,978-0000000015,Editora Omicron,Romance
A Magia das Palavras,Alfreda Alves,29/04/2019,978-0000000016,Editora Pi,Literatura
Aventura no Deserto,Alex Antunes,08/06/2019,978-0000000017,Editora Rho,Aventura
A Luz do Amanhã,Angela Andrade,23/07/2019,978-0000000018,Editora Sigma,Ficção
A Arte Perdida,Arthur Almeida,15/09/2019,978-0000000019,Editora Tau,Literatura
A Jornada Secreta,Ana Antunes,02/11/2019,978-0000000020,Editora Upsilon,Mistério
A Trilha do Vento,Alan Amaral,19/01/2020,978-0000000021,Editora Phi,Aventura
A Sombra do Passado,Alice Araújo,06/03/2020,978-0000000022,Editora Chi,Mistério
A Viagem do Tempo,André Alves,22/05/2020,978-0000000023,Editora Psi,Ficção Científica
A Arte do Amor,Ana Almeida,10/07/2020,978-0000000024,Editora Omega,Romance
A Chama Interior,Arthur Araújo,28/08/2020,978-0000000025,Editora Alfa,Literatura
A Ilha Misteriosa,Alexandra Antunes,12/10/2020,978-0000000026,Editora Beta,Aventura
A Essência da Vida,Adriana Alves,04/12/2020,978-0000000027,Editora Gama,Literatura
A Música da Alma,Alan Andrade,17/01/2021,978-0000000028,Editora Delta,Música
A Lenda Perdida,Alice Amaral,03/03/2021,978-0000000029,Editora Épsilon,Aventura
A Magia Oculta,André Antunes,21/04/2021,978-0000000030,Editora Zeta,Ficção
A Vida em Versos,Ana Araújo,09/06/2021,978-0000000031,Editora Eta,Literatura
A Jornada do Amor,Arthur Alves,25/07/2021,978-0000000032,Editora Theta,Romance
A Cidade Encantada,Alex Almeida,11/09/2021,978-0000000033,Editora Iota,Aventura
A Sombra da Lua,Angela Antunes,27/10/2021,978-0000000034,Editora Kappa,Ficção
A Chave Perdida,Alan Andrade,15/12/2021,978-0000000035,Editora Lambda,Mistério
A Arte de Viver,Alice Antunes,05/02/2022,978-0000000036,Editora Mu,Literatura
A Trilha Secreta,André Amaral,21/03/2022,978-0000000037,Editora Nu,Aventura
A Luz do Sol,Ana Almeida,10/05/2022,978-0000000038,Editora Xi,Ficção
A Magia do Amor,Arthur Araújo,26/06/2022,978-0000000039,Editora Omicron,Romance
A Viagem Secreta,Alex Antunes,14/08/2022,978-0000000040,Editora Pi,Aventura
A Sombra do Destino,Angela Alves,30/09/2022,978-0000000041,Editora Rho,Ficção
A Chama do Coração,Alan Araújo,17/11/2022,978-0000000042,Editora Sigma,Romance
A Cidade das Sombras,Alice Amaral,05/01/2023,978-0000000043,Editora Tau,Mistério
A Arte do Destino,André Antunes,21/02/2023,978-0000000044,Editora Upsilon,Literatura
A Jornada da Alma,Ana Alves,10/04/2023,978-0000000045,Editora Phi,Ficção
A Ilha Secreta,Arthur Almeida,26/05/2023,978-0000000046,Editora Chi,Aventura
A Luz Oculta,Alex Araújo,14/07/2023,978-0000000047,Editora Psi,Ficção
A Magia das Estrelas,Angela Antunes,30/08/2023,978-0000000048,Editora Omega,Ficção Científica
A Viagem Encantada,Alan Almeida,18/10/2023,978-0000000049,Editora Alfa,Aventura
A Sombra Misteriosa,Alice Araújo,04/12/2023,978-0000000050,Editora Beta,Mistério
