TITULO,AUTOR,DATA_PUBLICACAO,ISBN,EDITORA,CATEGORIA
Aventura nas Estrelas,Teste Autor,12/01/1999,978-0000000001,Alfa,Ficção Científica
O Mistério da Floresta Antiga,Marina Silva,15/03/2001,978-0000000002,Beta,Mistério
Corações em Conflito,Roberto Santos,22/07/1998,978-0000000003,Gama,Romance
A História Perdida,Carlos Oliveira,08/11/2005,978-0000000004,Delta,História
Segredos da Mente,Ana Paula Lima,03/02/2010,978-0000000005,Épsilon,Psicologia
Viagem ao Centro da Terra Nova,Júlio Nascimento,17/09/1995,978-0000000006,Zeta,Aventura
O Código Secreto,Francisco Moreira,29/05/2003,978-0000000007,Eta,Suspense
Receitas da Vovó,Maria José,14/12/1992,978-0000000008,Teta,Culinária
O Último Dragão,Pedro Almeida,06/08/2007,978-0000000009,Iota,Fantasia
Negócios e Estratégia,João Costa,21/04/2012,978-0000000010,Kappa,Negócios
A Dança das Estações,Lúcia Fernandes,10/06/1997,978-0000000011,Lambda,Poesia
Crime na Biblioteca,Marcos Pereira,02/01/2009,978-0000000012,Mu,Crime
O Jardim Encantado,Isabel Rodrigues,18/10/2001,978-0000000013,Nu,Infantil
Reflexões Filosóficas,André Barbosa,25/03/2006,978-0000000014,Xi,Filosofia
A Revolução Silenciosa,Patrícia Gomes,13/07/2011,978-0000000015,Ômicron,Política
Memórias de Guerra,General Silva,04/09/1994,978-0000000016,Pi,Biografia
O Laboratório Perdido,Dr. Fernando,28/02/2008,978-0000000017,Rô,Ficção Científica
Amor em Tempos Difíceis,Carla Mendes,16/11/2000,978-0000000018,Sigma,Romance
Técnicas de Pintura,Artista Conhecido,09/05/1996,978-0000000019,Tau,Arte
O Mistério do Farol,Captain Hook,31/08/2004,978-0000000020,Upsilon,Mistério
Guia de Viagem Europa,Marco Polo Jr,12/12/2013,978-0000000021,Phi,Turismo
A Última Batalha,Guerreiro Antigo,07/04/1999,978-0000000022,Chi,Épico
Segredos da Natureza,Biólogo Verde,23/06/2002,978-0000000023,Psi,Ciência
O Castelo Sombrio,Gothic Writer,15/10/2005,978-0000000024,Omega,Terror
Economia Moderna,Professor Doutor,01/03/2014,978-0000000025,Alfa2,Economia
A Princesa Guerreira,Fada Madrinha,19/07/1993,978-0000000026,Beta2,Fantasia
Manual de Sobrevivência,Bear Grylls Jr,26/01/2010,978-0000000027,Gama2,Manual
O Teatro da Vida,Shakespeare Jr,11/09/1998,978-0000000028,Delta2,Drama
Mistérios do Oceano,Capitão Nemo,08/05/2007,978-0000000029,Épsilon2,Aventura
A Torre de Cristal,Mago Antigo,24/11/2001,978-0000000030,Zeta2,Fantasia
Lições de Liderança,CEO Master,17/02/2015,978-0000000031,Eta2,Administração
O Deserto Vermelho,Explorador Mars,03/08/1997,978-0000000032,Teta2,Aventura
Contos de Fadas Modernos,Irmãos Modernos,20/04/2003,978-0000000033,Iota2,Contos
A Máquina do Tempo,Inventor Louco,14/12/2008,978-0000000034,Kappa2,Ficção Científica
Segredos da Medicina,Dr. House Jr,30/06/2006,978-0000000035,Lambda2,Medicina
O Portal Mágico,Bruxa Boa,05/09/1999,978-0000000036,Mu2,Fantasia
História do Brasil,Historiador Nato,22/01/2011,978-0000000037,Nu2,História
A Cidade Perdida,Indiana Jones Jr,18/07/1995,978-0000000038,Xi2,Aventura
Manual de Fotografia,Fotógrafo Pro,13/03/2012,978-0000000039,Ômicron2,Fotografia
O Enigma da Pirâmide,Arqueólogo Bom,09/10/2004,978-0000000040,Pi2,Mistério
Receitas Saudáveis,Chef Fitness,27/05/1998,978-0000000041,Rô2,Culinária
A Floresta Encantada,Druida Sábio,12/11/2009,978-0000000042,Sigma2,Fantasia
Técnicas de Música,Maestro Genial,04/02/2001,978-0000000043,Tau2,Música
O Labirinto Mental,Psicólogo Wise,21/08/2007,978-0000000044,Upsilon2,Psicologia
Aventuras no Espaço,Astronauta Hero,16/04/1996,978-0000000045,Phi2,Ficção Científica
O Segredo do Mapa,Pirata Bom,10/12/2013,978-0000000046,Chi2,Aventura
Lendas Urbanas,Contador Tales,25/09/2002,978-0000000047,Psi2,Folclore
A Revolução Digital,Programador Tech,11/06/2015,978-0000000048,Omega2,Tecnologia
O Mosteiro Perdido,Monge Sábio,02/01/2005,978-0000000049,Alfa3,Espiritual
Crônicas do Reino,Cronista Real,19/07/1994,978-0000000050,Beta3,Épico
A Arte da Guerra Digital,General Cyber,14/03/2010,978-0000000051,Gama3,Estratégia
Memórias de uma Atriz,Diva Teatro,28/10/1999,978-0000000052,Delta3,Biografia
O Laboratório Secreto,Cientista Mad,06/05/2008,978-0000000053,Épsilon3,Ficção Científica
Guia de Jardinagem,Jardineiro Pro,23/12/2001,978-0000000054,Zeta3,Jardinagem
A Noite dos Corvos,Edgar Poe Jr,17/08/1997,978-0000000055,Eta3,Terror
Manual de Primeiros Socorros,Dr. Emergency,04/04/2014,978-0000000056,Teta3,Medicina
O Circo Mágico,Mágico Incrível,20/11/2003,978-0000000057,Iota3,Fantasia
Segredos da Bolsa,Investidor Pro,15/02/2012,978-0000000058,Kappa3,Finanças
A Jornada do Herói,Mitólogo Wise,08/09/1998,978-0000000059,Lambda3,Mitologia
O Mistério da Mansão,Detetive Clever,31/05/2006,978-0000000060,Mu3,Mistério
Contos de Horror,Mestre Fear,12/01/2009,978-0000000061,Nu3,Terror
A Academia de Magia,Professor Mago,26/07/2004,978-0000000062,Xi3,Fantasia
Manual de Yoga,Guru Peace,18/03/1995,978-0000000063,Ômicron3,Bem-estar
O Tesouro Pirata,Capitão Barba,09/10/2011,978-0000000064,Pi3,Aventura
Segredos da Memória,Neurologista Smart,01/06/2007,978-0000000065,Rô3,Neurologia
A Cidade Flutuante,Arquiteto Sky,24/12/2000,978-0000000066,Sigma3,Ficção Científica
Manual de Xadrez,Mestre Chess,13/08/1996,978-0000000067,Tau3,Jogos
O Dragão Adormecido,Cavaleiro Brave,29/04/2013,978-0000000068,Upsilon3,Fantasia
Lições de Etiqueta,Lady Elegant,16/11/2002,978-0000000069,Phi3,Etiqueta
A Máquina Infernal,Engenheiro Mad,07/01/2008,978-0000000070,Chi3,Ficção Científica
Receitas do Mundo,Chef Global,22/09/1999,978-0000000071,Psi3,Culinária
O Último Samurai,Guerreiro Honor,10/05/2005,978-0000000072,Omega3,Épico
Guia de Meditação,Monge Zen,03/02/2014,978-0000000073,Alfa4,Espiritualidade
A Biblioteca Infinita,Bibliotecário Wise,21/07/1993,978-0000000074,Beta4,Ficção Científica
Manual de Carros,Mecânico Pro,14/12/2010,978-0000000075,Gama4,Automóvel
O Fantasma da Ópera Jr,Phantom New,06/03/1998,978-0000000076,Delta4,Drama
Segredos da Longevidade,Dr. Forever,27/10/2006,978-0000000077,Épsilon4,Saúde
A Torre dos Ventos,Poeta Sky,11/06/2001,978-0000000078,Zeta4,Poesia
O Código da Vida,Biólogo DNA,19/01/2012,978-0000000079,Eta4,Biologia
Manual de Camping,Aventureiro Wild,08/08/1997,978-0000000080,Teta4,Outdoor
A Dança dos Elementos,Alquimista Old,25/04/2009,978-0000000081,Iota4,Fantasia
Lições de Piano,Pianista Master,12/11/2004,978-0000000082,Kappa4,Música
O Segredo do Alquimista,Mestre Gold,30/07/1995,978-0000000083,Lambda4,Alquimia
Guia de Vinhos,Sommelier Expert,17/02/2013,978-0000000084,Mu4,Gastronomia
A Profecia Antiga,Oráculo Wise,04/09/2007,978-0000000085,Nu4,Fantasia
Manual de Tricô,Vovó Skills,20/05/2000,978-0000000086,Xi4,Artesanato
O Laboratório do Tempo,Físico Time,15/12/2008,978-0000000087,Ômicron4,Ficção Científica
Segredos da Felicidade,Filósofo Happy,02/06/1996,978-0000000088,Pi4,Autoajuda
A Caverna dos Cristais,Geólogo Shine,28/01/2011,978-0000000089,Rô4,Geologia
Manual de Desenho,Artista Pencil,13/08/2003,978-0000000090,Sigma4,Arte
O Reino das Sombras,Necromante Dark,09/03/2005,978-0000000091,Tau4,Terror
Lições de Dança,Bailarina Grace,26/11/1999,978-0000000092,Upsilon4,Dança
A Máquina dos Sonhos,Inventor Dream,18/07/2012,978-0000000093,Phi4,Ficção Científica
Guia de Plantas Medicinais,Herbalista Natural,05/04/1998,978-0000000094,Chi4,Medicina Natural
O Mistério do Relógio,Relojoeiro Time,23/12/2006,978-0000000095,Psi4,Mistério
Manual de Navegação,Capitão Compass,16/09/2001,978-0000000096,Omega4,Náutica
A Escola de Feitiços,Professora Magic,07/05/2014,978-0000000097,Alfa5,Fantasia
Segredos da Velocidade,Piloto Fast,24/10/1994,978-0000000098,Beta5,Automobilismo
O Diário Perdido,Escritor Ghost,11/02/2009,978-0000000099,Gama5,Mistério
Manual de Sobremesas,Confeiteiro Sweet,29/06/2004,978-0000000100,Delta5,Culinária
A Fortaleza de Gelo,Viking Cold,14/01/2007,978-0000000101,Épsilon5,Aventura
Lições de Astronomia,Astrônomo Star,01/08/1997,978-0000000102,Zeta5,Astronomia
O Portal do Tempo,Viajante When,22/03/2013,978-0000000103,Eta5,Ficção Científica
Guia de Cristais,Místico Crystal,10/11/2002,978-0000000104,Teta5,Esoterismo
A Cidade Submarina,Mergulhador Deep,27/07/1999,978-0000000105,Iota5,Aventura
Manual de Origami,Mestre Paper,15/04/2010,978-0000000106,Kappa5,Artesanato
O Segredo da Poção,Alquimista Brew,08/12/2005,978-0000000107,Lambda5,Fantasia
Lições de Violino,Violinista Melody,25/09/1996,978-0000000108,Mu5,Música
A Jornada nas Nuvens,Piloto Sky,12/05/2008,978-0000000109,Nu5,Aventura
Manual de Gemologia,Joalheiro Gem,30/01/2011,978-0000000110,Xi5,Gemologia
O Castelo nas Estrelas,Príncipe Space,17/08/2001,978-0000000111,Ômicron5,Ficção Científica
Segredos da Intuição,Vidente Clear,04/03/2014,978-0000000112,Pi5,Parapsicologia
A Floresta dos Sussurros,Elfo Wise,21/10/1998,978-0000000113,Rô5,Fantasia
Manual de Pesca,Pescador Pro,16/06/2006,978-0000000114,Sigma5,Pesca
O Labirinto de Espelhos,Arquiteto Mirror,03/12/2003,978-0000000115,Tau5,Mistério
Lições de Cerâmica,Ceramista Clay,28/07/1995,978-0000000116,Upsilon5,Artesanato
A Máquina da Verdade,Detetive Truth,11/02/2012,978-0000000117,Phi5,Crime
Guia de Ervas,Botânico Green,19/09/2007,978-0000000118,Chi5,Botânica
